This is the first line of the file, the line exactly below this contains the column names and the lines below that contains the rows of data of companies for internship. Delimiter is ;
Organization Name;Location;OrganizationE-mail;Areas;WageSupport;ContactInfo;Notes
MS Spektral Savunma Sanayi A.Ş.;Başkent OSB;insan.kaynaklari@msspektral.com;Production planning candidate engineer;Yes;Tolga Öztürk - 0(505)9500813;Insurance, food, and transportation support are provided. Third-year students(for IE400) are preferred. The program lasts for one year and may be extended. Upon mutual agreement, it may lead to a full-time position.
NACRES Yazılım Teknoloji;;;;;sercansarman@nacres.com.trwww.nacres.com.tr;For 4th year students
GÜRİŞ;;;;;;GÜRİŞ Genç Yetenek Uzun Dönem Staj ProgramıLinkedIn veya ODTÜ KPM sitesi üzerinden başvuru yapılabilir.
Noksel Çelik Boru Sanayi AŞ;;noksel@noksel.com.tr;Üretim, kalite, bakım, satış, proje yönetimi, iş geliştirme vs.;;Banu Çağlar - 03124725959 /bcaglar@noksel.com.tr;
Koçtaş;;;;;Application link:https://www.kockariyerim.com/jobAds/koCtaS-s-t-e-p-2025-istanbul/bfe64e7...;For IE 400Hybrid (2 days at office/3 days remote)Due date: April30, 2025Please send a notification e-mail toie-staj@metu.edu.trAFTER you apply
İGA;İstanbul Havalimanı;;;;Kariyer Kapısı - İGA Staj Programı;
TÜMAŞ Türk Mühendislik Müşavirlik Ve Müt. A.Ş.;Kavaklıdere, Ankara;cuneyt.nalcaci@tumas.com.tr;Projelendirme, Saha Kontrollük -Müşavirlik;No;Betül Durmaz - 03124176025;
ELTAŞ TRANSFORMATÖR SAN. TİC. AŞ.;Aliağa, İzmir;mujdat.bilgic@eltas.com.tr;Projelendirme, Montaj, Üretim, AR-GE, Kalite, Test;Yes;Duygu Ünlü - 05325559827;
UDEA Elektronik San. ve Tic. A.Ş.;Yenimahalle/Ankara;ik@udea.com.tr;Üretim;No;Sıla Atay - 05393090169;
EKER SÜT ÜRÜNLERİ GIDA SAN ve TİC.A.Ş.;Mustafakemalpaşa/Bursa;info@eker.com;Üretim, Bakım-Onarım, AR-GE;Yes;HATİCE ÖZDEMİR ÇAKIR - 02244443537;
HİDROAN ANKARA HİDROLİK MAKİNE SANAYİ TİC.LTD.ŞTİ.;SİNCAN ANKARA;info@hidroan.com.tr;Projelendirme, Montaj, Üretim, AR-GE, YAZILIM,TALAŞLI KAYNAKLI ÜRETİM BOYA;No;NEŞET DAĞDELEN - 5498204886;
MTM MAKİNA TİC MUM MUS PET LOJ LTD STİ;KAVAKLIDERE ANKARA;MTM@mtmmakina.com.tr;Projelendirme, Montaj, Bakım-Onarım;Yes;bahar day,pgşı - 05322380010;
emet bor işletme müdürlüğü;;emet@etimaden.gov.tr;Üretim;Yes;Ömer TEMUR - 5368236356;
MPES Mühendislik;Çankaya/Ankara;info@mpes.com.tr;Projelendirme, Üretim, AR-GE;Yes;Zafer Demirtaş - 05423991240;
İMECAR ELEKTRONİK SAN. VE TİC. LTD. ŞTİ.;DÖŞEMEALTI/ANTALYA;info@imecar.com;Projelendirme, Üretim, AR-GE;No;BUKET AYTEKİN - 05317270525;
Gönenli Süt ve Süt Ürünleri Gıda ve San. Tic. A. Ş.;Gönen- Balıkesir;insankaynaklari@gonenlisut.com;Üretim;No;Burcu Cöne - 5349595126;
DURUKAN ŞEKERLEME SAN.VE TİC.A.Ş.;SİNCAN/ANKARA;ik@durukan.com.tr;Üretim, AR-GE;Yes;İNSAN KAYNAKLARI - 05344564971;
Koluman Otomotiv Endüstri A.Ş. Hacettepe Teknokent;Çankaya / ANKARA;aybike.kirim@koluman.com;Projelendirme, AR-GE;Yes;Aybike Kırım - 05496513225;
BAŞÖZ ENERJİ TAAH. SAN. VE TİC.A.Ş.;Temelli-ANKARA;basoz@basozenerji.com.tr;Üretim, Bakım-Onarım;Yes;Gamze DOĞAN - 05416955792;
Anadolu Sigorta;Beykoz / İSTANBUL;bilgi@anadolusigorta.com.tr;Projelendirme, AR-GE;Yes;İlayda Yelken Hocaoğlu - 08507440423;
TEI TUSAŞ MOTOR SANAYİİ A.Ş;Tepebaşı/Eskişehir;insankaynaklari@tei.com.tr;Projelendirme, Montaj, Üretim, Bakım-Onarım, AR-GE;Yes;Alpaslan Demir - 02222112100;For 4th year students
Ledbim Bilişim;Muratpaşa/Antalya;info@ledbim.com;Projelendirme, AR-GE;No;Hüseyin Yılmaz - 05469756501;For 4th year students
Kütahya Porselen San. A.Ş.;Kütahya;info@kutahyaporselen.com.tr;Üretim;No;;For 4th year students
DEICO;Yenimahalle / ANKARA;info@deico.com.tr;Montaj, Üretim, AR-GE;No;Berat Akçay - 05313051961;For 4th year students
VERTE;YENİMAHALLE/ANKARA;info@verteelektronik.com;Üretim, AR-GE;No;Berat Akçay - 05313051961;For 4th year students
Hestaş Madencilik;Çankaya/ANKARA;ik@hestas.com.tr;Madencilik;No;Gözde SÖĞÜT UÇAK - 05393086837;For 4th year students
EUROPOWER ENERJİ;ANKARA - TÜRKİYE;insan.kaynaklari@europowerenerji.com.tr;Projelendirme, Montaj, Üretim, Bakım-Onarım, AR-GE;Yes;;For 4th year students
;;;;;;
;;;;;;
;;;;;;
